# Lucide icon codepoints — auto-generated from Lucide.ttf
# Format: hex_codepoint  glyph-name
#
# Usage in Rust:  iced::widget::text("\u{XXXX}").font(LUCIDE_FONT)

//! Lucide icon helpers.
//!
//! **Adding a new icon:** look up the codepoint in
//! `crates/playfair-core/assets/fonts/lucide-codepoints.txt`,
//! then follow the pattern of any existing function below.

0000  .notdef#1
000d  .notdef#2
f697  a_arrow_down
f675  a_arrow_up
f653  a_large_small
f631  accessibility
f60f  activity
f5ed  air_vent
f5cb  airplay
f521  alarm_clock
f5a9  alarm_clock_check
f587  alarm_clock_minus
f565  alarm_clock_off
f543  alarm_clock_plus
f4ff  alarm_smoke
f4dd  album
f4bb  align_center_horizontal
f499  align_center_vertical
f477  align_end_horizontal
f455  align_end_vertical
f433  align_horizontal_distribute_center
f411  align_horizontal_distribute_end
f3ef  align_horizontal_distribute_start
f3cd  align_horizontal_justify_center
f3ab  align_horizontal_justify_end
f389  align_horizontal_justify_start
f367  align_horizontal_space_around
f345  align_horizontal_space_between
f323  align_start_horizontal
f301  align_start_vertical
f2df  align_vertical_distribute_center
f2bd  align_vertical_distribute_end
f29b  align_vertical_distribute_start
f279  align_vertical_justify_center
f257  align_vertical_justify_end
f235  align_vertical_justify_start
f213  align_vertical_space_around
f1f1  align_vertical_space_between
f1cf  ambulance
f1ad  ampersand
f18b  ampersands
f16a  amphora
f149  anchor
f128  angry
f107  annoyed
f0e6  antenna
f0c5  anvil
f0a4  aperture
f062  app_window
f083  app_window_mac
f041  apple
f674  archive
f020  archive_restore
f696  archive_x
f652  armchair
f60e  arrow_big_down
f630  arrow_big_down_dash
f5ca  arrow_big_left
f5ec  arrow_big_left_dash
f586  arrow_big_right
f5a8  arrow_big_right_dash
f542  arrow_big_up
f564  arrow_big_up_dash
f388  arrow_down
f520  arrow_down_0_1
f4fe  arrow_down_1_0
f4dc  arrow_down_a_z
f4ba  arrow_down_from_line
f498  arrow_down_left
f476  arrow_down_narrow_wide
f454  arrow_down_right
f432  arrow_down_to_dot
f410  arrow_down_to_line
f3ee  arrow_down_up
f3cc  arrow_down_wide_narrow
f3aa  arrow_down_z_a
f300  arrow_left
f366  arrow_left_from_line
f344  arrow_left_right
f322  arrow_left_to_line
f278  arrow_right
f2de  arrow_right_from_line
f2bc  arrow_right_left
f29a  arrow_right_to_line
f0c4  arrow_up
f256  arrow_up_0_1
f234  arrow_up_1_0
f212  arrow_up_a_z
f1f0  arrow_up_down
f1ce  arrow_up_from_dot
f1ac  arrow_up_from_line
f18a  arrow_up_left
f169  arrow_up_narrow_wide
f148  arrow_up_right
f127  arrow_up_to_line
f106  arrow_up_wide_narrow
f0e5  arrow_up_z_a
f0a3  arrows_up_from_line
f082  asterisk
f061  at_sign
f040  atom
f01f  audio_lines
f695  audio_waveform
f673  award
f651  axe
f62f  axis_3d
f60d  baby
f5eb  backpack
f387  badge
f5c9  badge_alert
f5a7  badge_cent
f585  badge_check
f563  badge_dollar_sign
f541  badge_euro
f51f  badge_indian_rupee
f4fd  badge_info
f4db  badge_japanese_yen
f4b9  badge_minus
f497  badge_percent
f475  badge_plus
f453  badge_pound_sterling
f431  badge_question_mark
f40f  badge_russian_ruble
f3ed  badge_swiss_franc
f3cb  badge_turkish_lira
f3a9  badge_x
f365  baggage_claim
f343  balloon
f321  ban
f2ff  banana
f2dd  bandage
f255  banknote
f2bb  banknote_arrow_down
f299  banknote_arrow_up
f277  banknote_x
f233  barcode
f211  barrel
f1ef  baseline
f1cd  bath
f0e4  battery
f1ab  battery_charging
f189  battery_full
f168  battery_low
f147  battery_medium
f126  battery_plus
f105  battery_warning
f0c3  beaker
f081  bean
f0a2  bean_off
f01e  bed
f060  bed_double
f03f  bed_single
f694  beef
f650  beer
f672  beer_off
f562  bell
f62e  bell_dot
f60c  bell_electric
f5ea  bell_minus
f5c8  bell_off
f5a6  bell_plus
f584  bell_ring
f540  between_horizontal_end
f51e  between_horizontal_start
f4fc  between_vertical_end
f4da  between_vertical_start
f4b8  biceps_flexed
f496  bike
f474  binary
f452  binoculars
f430  biohazard
f40e  bird
f3ec  birdhouse
f3ca  bitcoin
f3a8  blend
f386  blinds
f364  blocks
f2dc  bluetooth
f342  bluetooth_connected
f320  bluetooth_off
f2fe  bluetooth_searching
f2ba  bold
f298  bolt
f276  bomb
f254  bone
f583  book
f232  book_a
f210  book_alert
f1ee  book_audio
f1cc  book_check
f1aa  book_copy
f188  book_dashed
f167  book_down
f146  book_headphones
f125  book_heart
f104  book_image
f0e3  book_key
f0c2  book_lock
f0a1  book_marked
f080  book_minus
f01d  book_open
f05f  book_open_check
f03e  book_open_text
f693  book_plus
f671  book_search
f64f  book_text
f62d  book_type
f5e9  book_up
f60b  book_up_2
f5c7  book_user
f5a5  book_x
f4d9  bookmark
f561  bookmark_check
f53f  bookmark_minus
f51d  bookmark_plus
f4fb  bookmark_x
f4b7  boom_box
